fechahora , AGRO INDUSTRIAL PARAMONGA -C.T. PARAMONGA (SSAA), AGUAS Y ENERGIA PERU -C.H. PIAS I (SSAA), EGENOR -C.H. CAÑA BRAVA (SSAA), ELECTRICA SANTA ROSA -C.H. PURMACANA (SSAA), ELECTRICA YANAPAMPA SAC -C.H. YANAPAMPA (SSAA), EMPRESA ELECTRICA RIO DOBLE -C.H. LAS PIZARRAS (SSAA), ENERGÍA EÓLICA S.A. -C.E. PQE E. CUPISNIQUE (SSAA), ENERGÍA EÓLICA S.A. -C.E. PQE E. TALARA (SSAA), GENERADORA ENERGÍA DEL PERÚ -C.H. LA JOYA (SSAA), GTS MAJES S.A.C -C.S. MAJES SOLAR (SSAA), GTS REPARTICION S.A.C. -C.S. REPARTICION SOLAR (SSAA), HIDROCAÑETE S.A. -C.H. NUEVA IMPERIAL (SSAA), HIDROELECTRICA SANTA CRUZ -C.H. SANTA CRUZ II (SSAA), HIDROELECTRICA SANTA CRUZ -C.H. SANTA CRUZ I (SSAA), HIDROELECTRICA SANTA CRUZ -C.H. HUASAHUASI II (SSAA), HIDROELECTRICA SANTA CRUZ -C.H. HUASAHUASI I (SSAA), MAJA ENERGIA S.A.C. -C.H. RONCADOR (SSAA), MAPLE ETANOL -C.T. MAPLE ETANOL (SSAA), PANAMERICANA  SOLAR SAC. -C.S. PANAMERICANA SOLAR (SSAA), PARQUE EOLICO MARCONA S.R.L. -C.E. PQE EOLICO MARCONA (SSAA), PETRAMAS -C.T.B. HUAYCOLORO (SSAA), SINERSA -C.H. POECHOS II (SSAA), TACNA SOLAR SAC. -C.S. TACNA SOLAR (SSAA)
15/10/2014 00:15, 0, 0.037790, 0.022170, 0, 0.0110, 0, 0, 0, 0.007780, 0.075960, 0.075960, 0.0036, 0, 0, 0, 0, 0, 0, 0, 0.990040, 0.2357, 0, 0.05
15/10/2014 00:30, 0, 0.037790, 0.022240, 0, 0.0110, 0, 0, 0, 0.007780, 0.075440, 0.075440, 0.0040, 0, 0, 0, 0, 0, 0, 0, 0.962220, 0.2357, 0, 0.05
15/10/2014 00:45, 0, 0.037790, 0.023680, 0, 0.0110, 0, 0, 0, 0.008010, 0.075270, 0.075270, 0.0048, 0, 0, 0, 0, 0, 0, 0, 0.992080, 0.2357, 0, 0.05
15/10/2014 01:00, 0, 0.037790, 0.022330, 0, 0.0110, 0, 0, 0, 0.007990, 0.075050, 0.075050, 0.0052, 0, 0, 0, 0, 0, 0, 0, 0.990510, 0.2357, 0, 0.05
15/10/2014 01:15, 0, 0.037790, 0.022370, 0, 0.0110, 0, 0, 0, 0.007980, 0.075590, 0.075590, 0.0040, 0, 0, 0, 0, 0, 0, 0, 0.987670, 0.2357, 0, 0.05
15/10/2014 01:30, 0, 0.037790, 0.023660, 0, 0.01, 0, 0, 0, 0.008170, 0.074670, 0.074670, 0.0036, 0, 0, 0, 0, 0, 0, 0, 0.989430, 0.2357, 0, 0.05
15/10/2014 01:45, 0, 0.037790, 0.022430, 0, 0.01, 0, 0, 0, 0.007990, 0.075340, 0.075340, 0.0036, 0, 0, 0, 0, 0, 0, 0, 0.990130, 0.2357, 0, 0.05
15/10/2014 02:00, 0, 0.037790, 0.022330, 0, 0.0110, 0, 0, 0, 0.007640, 0.074910, 0.074910, 0.0036, 0, 0, 0, 0, 0, 0, 0, 0.998160, 0.2357, 0, 0.05
15/10/2014 02:15, 0, 0.037790, 0.022310, 0, 0.0110, 0, 0, 0, 0.007970, 0.074950, 0.074950, 0.0032, 0, 0, 0, 0, 0, 0, 0, 0.992060, 0.2357, 0, 0.05
15/10/2014 02:30, 0, 0.037790, 0.023780, 0, 0.0110, 0, 0, 0, 0.007970, 0.074060, 0.074060, 0.0032, 0, 0, 0, 0, 0, 0, 0, 0.999980, 0.2357, 0, 0.05
15/10/2014 02:45, 0, 0.037790, 0.022340, 0, 0.0130, 0, 0, 0, 0.008530, 0.073660, 0.073660, 0.0036, 0, 0, 0, 0, 0, 0, 0, 0.996930, 0.2357, 0, 0.05
15/10/2014 03:00, 0, 0.037790, 0.022350, 0, 0.0130, 0, 0, 0, 0.008550, 0.073410, 0.073410, 0.0032, 0, 0, 0, 0, 0, 0, 0, 0.997270, 0.2357, 0, 0.05
15/10/2014 03:15, 0, 0.037790, 0.023730, 0, 0.0130, 0, 0, 0, 0.008590, 0.073060, 0.073060, 0.0036, 0, 0, 0, 0, 0, 0, 0, 0.9994, 0.2357, 0, 0.05
15/10/2014 03:30, 0, 0.037790, 0.022310, 0, 0.0130, 0, 0, 0, 0.008810, 0.073060, 0.073060, 0.0036, 0, 0, 0, 0, 0, 0, 0, 0.999970, 0.2357, 0, 0.05
15/10/2014 03:45, 0, 0.037790, 0.022280, 0, 0.0130, 0, 0, 0, 0.008760, 0.072830, 0.072830, 0.0032, 0, 0, 0, 0, 0, 0, 0, 0.997380, 0.2357, 0, 0.05
